ID,Country,Province,District,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Total,Serbs,Montenegrins,Croats,Bosniaks,Albanians,Bulgarians,Macedonians,Turks,Roma,Others,Unstated,Unknown,Hungarians,Slovaks,Aromanians,Muslims,Yugoslavs,Greeks,Romanians,Gorans,Egyptians,Ashkali,Italians,Russians,Ruthenians,Bunjevacis,Slovenians,Czechs,Ukrainians,Germans,Poles,Jews,Austrians,Vlachs,Armenian,English,French,Spanish,Swedish,Finnish,Portugese,Dutch,Danish,Nigerian,Sri Lankan,Indian,Pakistan,Bangladeshi,Chinese,Filippino,Vietnamese,Iran,Syrians,Turkmenistan,Azerbaijan,Maronite Arabs,Sunni Arabs,Shia Arabs,Orthodox Arabs,Copt Arabs,Catholic Arabs
NM04,North Macedonia,null,Bitola,Macedonians,Unknown,Albanians,Roma,Aromanians,Turks,Others,Serbs,Bosniaks,Unstated,90026,386,0,0,50,4809,0,72889,1258,2954,823,24,5563,0,0,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM05,North Macedonia,null,Bogdanci,Macedonians,Unknown,Serbs,Others,Turks,Roma,Albanians,Aromanians,Unstated,Bosniaks,7535,279,0,0,1,6,0,6844,38,12,48,4,298,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM06,North Macedonia,null,Bogovinje,Albanians,Unknown,Turks,Macedonians,Others,Bosniaks,Aromanians,Serbs,.,.,31492,3,0,0,6,28878,0,62,889,0,56,0,1594,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM07,North Macedonia,null,Bosilovo,Macedonians,Unknown,Turks,Others,Roma,Albanians,Serbs,Bosniaks,.,.,12832,6,0,0,1,10,0,11055,694,16,23,0,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM08,North Macedonia,null,Brvenica,Albanians,Macedonians,Unknown,Serbs,Others,Bosniaks,Aromanians,Turks,Turks,.,18319,42,0,0,6,11812,0,5930,1,1,36,0,489,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM09,North Macedonia,null,Butel,Macedonians,Albanians,Unknown,Turks,Bosniaks,Serbs,Others,Roma,Aromanians,Unstated,40612,629,0,0,1218,15678,0,17794,1386,521,626,8,2677,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM10,North Macedonia,null,Čair,Albanians,Unknown,Macedonians,Turks,Bosniaks,Roma,Others,Serbs,Aromanians,Unstated,68975,210,0,0,2747,47460,0,5721,4534,1428,545,1,6289,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM11,North Macedonia,null,Čaška,Albanians,Macedonians,Turks,Unknown,Others,Bosniaks,Serbs,Unstated,Aromanians,.,8425,24,0,0,40,4367,0,3168,398,0,112,4,311,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM12,North Macedonia,null,Centar,Macedonians,Unknown,Serbs,Albanians,Others,Roma,Turks,Aromanians,Bosniaks,Unstated,46749,1354,0,0,190,1332,0,35959,649,671,884,68,5065,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM13,North Macedonia,null,Centar Župa,Turks,Macedonians,Albanians,Unknown,Others,Roma,Bosniaks,.,.,.,6155,0,0,0,1,453,0,469,4795,2,70,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM14,North Macedonia,null,Češinovo-Obleševo,Macedonians,Unknown,Aromanians,Albanians,Albanians,Serbs,.,.,.,.,5808,2,0,0,0,7,0,5561,0,0,7,0,223,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM15,North Macedonia,null,Čučer-Sandevo,Macedonians,Serbs,Albanians,Unknown,Others,Bosniaks,Roma,Aromanians,Turks,Unstated,9642,1951,0,0,88,1535,0,5132,14,24,109,4,769,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM16,North Macedonia,null,Debar,Albanians,Turks,Unknown,Macedonians,Roma,Others,Bosniaks,Serbs,Unstated,Unstated,19784,5,0,0,17,11720,0,1485,3311,1156,547,3,1537,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM17,North Macedonia,null,Debrca,Macedonians,Unknown,Albanians,Others,Bosniaks,Turks,Serbs,.,.,.,4067,1,0,0,3,95,0,3640,2,0,8,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM18,North Macedonia,null,Delčevo,Macedonians,Unknown,Roma,Others,Turks,Albanians,Serbs,Aromanians,Unstated,Bosniaks,14825,11,0,0,2,27,0,13099,129,499,137,3,913,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM19,North Macedonia,null,Demir Hisar,Macedonians,Unknown,Albanians,Others,Roma,Aromanians,Turks,Serbs,Unstated,.,7552,6,0,0,0,262,0,6946,9,16,32,1,270,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM20,North Macedonia,null,Demir Kapija,Macedonians,Turks,Serbs,Unknown,Roma,Others,Albanians,Aromanians,Bosniaks,.,3937,133,0,0,1,14,0,3208,397,38,27,0,117,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM21,North Macedonia,null,Dojran,Macedonians,Turks,Serbs,Unknown,Roma,Roma,Albanians,Aromanians,Unstated,Bosniaks,3182,158,0,0,1,15,0,2600,221,30,30,2,122,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM22,North Macedonia,null,Dolneni,Albanians,Macedonians,Turks,Bosniaks,Unknown,Others,Serbs,Aromanians,.,.,14560,13,0,0,2300,5205,0,3904,2723,0,31,0,377,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM23,North Macedonia,null,Gazi Baba,Macedonians,Albanians,Unknown,Roma,Serbs,Bosniaks,Others,Turks,Aromanians,Unstated,73735,1354,0,0,794,16271,0,46952,521,1983,613,19,5029,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM24,North Macedonia,null,Gevgelija,Macedonians,Unknown,Aromanians,Serbs,Others,Turks,Albanians,Albanians,Bosniaks,Unstated,22182,223,0,0,8,21,0,20348,60,21,177,4,1051,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM25,North Macedonia,null,Đorče Petrov,Macedonians,Unknown,Albanians,Serbs,Roma,Others,Bosniaks,Turks,Aromanians,Unstated,46723,1309,0,0,507,1972,0,37342,304,1179,581,29,3340,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM26,North Macedonia,null,Gostivar,Albanians,Macedonians,Turks,Unknown,Roma,Others,Serbs,Bosniaks,Aromanians,Unstated,93956,76,0,0,33,64703,0,13573,8848,2431,770,2,3497,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM27,North Macedonia,null,Gradsko,Macedonians,Bosniaks,Roma,Unknown,Albanians,Turks,Others,Serbs,.,.,3550,14,0,0,445,125,0,2481,96,184,69,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM28,North Macedonia,null,Ilinden,Macedonians,Unknown,Serbs,Roma,Albanians,Others,Bosniaks,Aromanians,Unstated,Turks,17899,665,0,0,10,388,0,15132,6,492,137,7,1054,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM29,North Macedonia,null,Јegunovce,Albanians,Macedonians,Unknown,Serbs,Roma,Others,.,.,.,.,10714,90,0,0,0,5070,0,4957,0,57,18,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM30,North Macedonia,null,Karbinci,Macedonians,Turks,Unknown,Roma,Aromanians,Serbs,Others,Albanians,.,.,3578,7,0,0,0,1,0,2298,873,15,4,0,370,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM31,North Macedonia,null,Karpoš,Macedonians,Unknown,Albanians,Serbs,Others,Roma,Aromanians,Turks,Bosniaks,Unstated,66853,1690,0,0,198,2574,0,54110,502,639,1121,82,5428,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM32,North Macedonia,null,Kavadarci,Macedonians,Unknown,Roma,Others,Turks,Serbs,Albanians,Aromanians,Bosniaks,Unstated,36932,134,0,0,9,34,0,33132,140,740,243,5,2466,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM33,North Macedonia,null,Kičevo,Albanians,Macedonians,Turks,Unknown,Roma,Others,Aromanians,Serbs,Bosniaks,Unstated,56725,70,0,0,15,31610,0,16920,3245,2063,286,2,2440,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM34,North Macedonia,null,Kisela Voda,Macedonians,Unknown,Serbs,Turks,Others,Aromanians,Bosniaks,Roma,Albanians,Unstated,64254,996,0,0,622,461,0,54046,753,485,731,19,5486,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM35,North Macedonia,null,Kočani,Macedonians,Unknown,Roma,Aromanians,Others,Turks,Serbs,Albanians,Bosniaks,Unstated,34219,43,0,0,14,15,0,29333,143,1918,161,2,2409,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM36,North Macedonia,null,Konče,Macedonians,Turks,Unknown,Albanians,Others,Serbs,Serbs,.,.,.,2842,1,0,0,1,4,0,2023,644,0,2,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM37,North Macedonia,null,Kratovo,Macedonians,Unknown,Roma,Others,Serbs,Albanians,Unstated,Unstated,.,.,7968,14,0,0,0,9,0,7372,0,109,24,1,438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
