Old ID,ID,District
9618217B52659197715523,PK093,Tribal Area Adj. Lakki Marwat District
9618217B72269656705038,PK094,Tribal Area Adj. Peshawar District
9618217B51909263256707,PK095,Tribal Area Adj. Tank District
9618217B21460846200179,PK096,Daharki Taluka
9618217B1460109099825,PK097,Ghotki Taluka
9618217B63149022343759,PK098,Khangarh Taluka
9618217B36535563293418,PK099,Mirpur Mathelo Taluka
9618217B13430994189110,PK100,Ubauro Taluka
9618217B99363720613400,PK101,Gujranwala City Tehsil
9618217B3934260130404,PK102,Gujranwala Saddar Tehsil
9618217B79627750692708,PK103,Kamoke Tehsil
9618217B8960364895621,PK104,Nowshera Virkan Tehsil
9618217B81659950936026,PK105,Wazirabad Tehsil
9618217B61923659220021,PK106,Gujrat Tehsil
9618217B29572971440693,PK107,Kharian Tehsil
9618217B44942663525229,PK108,Sarai Alamgir Tehsil
9618217B73177395836711,PK109,Gwadar Tehsil
9618217B19586931991950,PK110,Jiwani Tehsil
9618217B66549368810061,PK111,Ormara Tehsil
9618217B43513523941512,PK112,Pasni Tehsil
9618217B87381485340477,PK113,Suntser Sub-Tehsil
9618217B14601730863516,PK114,Hafizabad Tehsil
9618217B88762426965199,PK115,Pindi Bhattian Tehsil
9618217B72358395847423,PK116,Hangu Tehsil
9618217B83339690098586,PK117,Tall Tehsil
9618217B18056507833425,PK118,Ghazi Tehsil
9618217B53516127317768,PK119,Haripur Tehsil
9618217B37623205029699,PK120,Harnai Tehsil
9618217B63716992539538,PK121,Khoast Sub-Tehsil
9618217B40498101001050,PK122,Shahrig Tehsil
9618217B53021961386210,PK123,Hyderabad City Taluka
9618217B85288636963898,PK124,Latifabad Taluka
9618217B89933783783343,PK125,Qasimabad Taluka
9618217B77065930061668,PK126,Islamabad Tehsil
9618217B19185229055328,PK127,Garhi Khairo Taluka
9618217B94384438441971,PK128,Jacobabad Taluka
9618217B45730721811496,PK129,Thul Taluka
9618217B10228752646001,PK130,Gandhaka Tehsil
9618217B86464903653788,PK131,Jhat Pat Tehsil
9618217B27708571372610,PK132,Usta Muhammad Tehsil
9618217B87538747541891,PK133,Kotri Taluka
9618217B57194515605983,PK134,Manjhand Taluka
9618217B91266058223820,PK135,Sehwan Taluka
9618217B45415360281153,PK136,Thano Bula Khan Taluka
9618217B37966221621202,PK137,Gandawa Tehsil
9618217B12027487695459,PK138,Jhal Magsi Tehsil
9618217B97304875019952,PK139,Mirpur Sub-Tehsil
9618217B8917693813131,PK140,Ahmadpur Sial Tehsil
9618217B97650349828759,PK141,Hazari Tehsil
9618217B12490857325853,PK142,Jhang Tehsil
9618217B73902443176892,PK143,Shorkot Tehsil
9618217B61242270997195,PK144,Dina Tehsil
9618217B22857768344293,PK145,Jhelum Tehsil
9618217B13521614852985,PK146,Pind Dadan Khan Tehsil
9618217B97272924784682,PK147,Sohawa Tehsil
9618217B98926737301322,PK148,Balanari Sub-Tehsil
9618217B70834513221374,PK149,Bhag Tehsil
9618217B75567275115944,PK150,Dhadar Tehsil
9618217B69236188960303,PK151,Khattan Sub-Tehsil
9618217B19608108595135,PK152,Mach Sub-Tehsil
9618217B13634250656790,PK153,Sanni Sub-Tehsil
9618217B17885121566588,PK154,Gazg Sub-Tehsil
9618217B91467173275468,PK155,Johan Sub-Tehsil
9618217B40739671025115,PK156,Kalat Tehsil
9618217B5840923689995,PK157,Mangochar Tehsil
9618217B81975811571171,PK158,Surab Tehsil
9618217B51536377015215,PK159,Kambar Ali Khan Taluka
9618217B27710866346662,PK160,Miro Khan Taluka
9618217B23821866860121,PK161,Nasirabad Taluka
9618217B39832154978161,PK162,Qubo Saeed Khan Taluka
9618217B53525514114395,PK163,Shahdad Kot Taluka
9618217B35051011521012,PK164,Sujawal Junejo Taluka
9618217B29537584943692,PK165,Warah Taluka
9618217B49298824887871,PK166,Gulberg Sub-Division
9618217B32835633358061,PK167,Liaquatabad Sub-Division
9618217B94506415006873,PK168,New Karachi Sub-Division
9618217B68715976569755,PK169,North Nazimabad Sub-Division
9618217B80151254256120,PK170,Gulshan-E-Iqbal Sub-Division
9618217B80151254256666,PK171,Gulzar-E-Hijri Sub-Division
9618217B68188288692229,PK172,Jamshed Quarters Sub-Division
9618217B15353511562764,PK173,Civil Lines Sub-Division
9618217B81972657940854,PK174,Lyari Sub-Division
9618217B49959130600238,PK175,Saddar Sub-Division
9618217B71654380557394,PK176,Baldia Sub-Division
9618217B84997176527728,PK177,Harbour Sub-Division
