ID,Old ID1,Old ID,Country,Province,District
IN0251,5562,5562,Andhra Pradesh,Guntur,Tadepalle
IN0252,5564,5564,Andhra Pradesh,Guntur,Tadikonda
IN0253,5586,5586,Andhra Pradesh,Guntur,Tenali
IN0254,5561,5561,Andhra Pradesh,Guntur,Thullur
IN0255,5593,5593,Andhra Pradesh,Guntur,Tsundur
IN0256,5588,5588,Andhra Pradesh,Guntur,Vatticherukuru
IN0257,5549,5549,Andhra Pradesh,Guntur,Veldurthi
IN0258,5595,5595,Andhra Pradesh,Guntur,Vemuru
IN0259,5570,5570,Andhra Pradesh,Guntur,Vinukonda
IN0260,5506,5506,Andhra Pradesh,Krishna,A.Konduru
IN0261,5513,5513,Andhra Pradesh,Krishna,Agiripalle
IN0262,5545,5545,Andhra Pradesh,Krishna,Avanigadda
IN0263,5527,5527,Andhra Pradesh,Krishna,Bantumilli
IN0264,5512,5512,Andhra Pradesh,Krishna,Bapulapadu
IN0265,5543,5543,Andhra Pradesh,Krishna,Challapalle
IN0266,5516,5516,Andhra Pradesh,Krishna,Chandarlapadu
IN0267,5509,5509,Andhra Pradesh,Krishna,Chatrai
IN0268,5514,5514,Andhra Pradesh,Krishna,Gaddamanugu Konduru
IN0269,5504,5504,Andhra Pradesh,Krishna,Gampalagudem
IN0270,5520,5520,Andhra Pradesh,Krishna,Gannavaram
IN0271,5541,5541,Andhra Pradesh,Krishna,Ghantasala
IN0272,5529,5529,Andhra Pradesh,Krishna,Gudivada
IN0273,5537,5537,Andhra Pradesh,Krishna,Gudlavalleru
IN0274,5539,5539,Andhra Pradesh,Krishna,Guduru
IN0275,5517,5517,Andhra Pradesh,Krishna,Ibrahimpatnam
IN0276,5499,5499,Andhra Pradesh,Krishna,Jaggayyapeta
IN0277,5524,5524,Andhra Pradesh,Krishna,Kaikalur
IN0278,5525,5525,Andhra Pradesh,Krishna,Kalidindi
IN0279,5515,5515,Andhra Pradesh,Krishna,Kanchikacherla
IN0280,5531,5531,Andhra Pradesh,Krishna,Kankipadu
IN0281,5547,5547,Andhra Pradesh,Krishna,Koduru
IN0282,5526,5526,Andhra Pradesh,Krishna,Kruthivennu
IN0283,5542,5542,Andhra Pradesh,Krishna,Machilipatnam
IN0284,5523,5523,Andhra Pradesh,Krishna,Mandavalli
IN0285,5544,5544,Andhra Pradesh,Krishna,Mopidevi
IN0286,5540,5540,Andhra Pradesh,Krishna,Movva
IN0287,5528,5528,Andhra Pradesh,Krishna,Mudinepalle
IN0288,5510,5510,Andhra Pradesh,Krishna,Musunuru
IN0289,5503,5503,Andhra Pradesh,Krishna,Mylavaram
IN0290,5546,5546,Andhra Pradesh,Krishna,Nagayalanka
IN0291,5501,5501,Andhra Pradesh,Krishna,Nandigama
IN0292,5522,5522,Andhra Pradesh,Krishna,Nandivada
IN0293,5511,5511,Andhra Pradesh,Krishna,Nuzvid
IN0294,5536,5536,Andhra Pradesh,Krishna,Pamarru
IN0295,5534,5534,Andhra Pradesh,Krishna,Pamidimukkala
IN0296,5538,5538,Andhra Pradesh,Krishna,Pedana
IN0297,5530,5530,Andhra Pradesh,Krishna,Pedaparupudi
IN0298,5532,5532,Andhra Pradesh,Krishna,Penamaluru
IN0299,5500,5500,Andhra Pradesh,Krishna,Penuganchiprolu
IN0300,5507,5507,Andhra Pradesh,Krishna,Reddigudem
IN0301,5533,5533,Andhra Pradesh,Krishna,Thotlavalluru
IN0302,5505,5505,Andhra Pradesh,Krishna,Tiruvuru
IN0303,5521,5521,Andhra Pradesh,Krishna,Unguturu
IN0304,5498,5498,Andhra Pradesh,Krishna,Vatsavai
IN0305,5502,5502,Andhra Pradesh,Krishna,Veerullapadu
IN0306,5519,5519,Andhra Pradesh,Krishna,Vijayawada (Rural)
IN0307,5518,5518,Andhra Pradesh,Krishna,Vijayawada (Urban)
IN0308,5508,5508,Andhra Pradesh,Krishna,Vissannapet
IN0309,5535,5535,Andhra Pradesh,Krishna,Vuyyuru
IN0310,5779,5779,Andhra Pradesh,Kurnool,Adoni
IN0311,5806,5806,Andhra Pradesh,Kurnool,Allagadda
IN0312,5782,5782,Andhra Pradesh,Kurnool,Alur
IN0313,5783,5783,Andhra Pradesh,Kurnool,Aspari
IN0314,5773,5773,Andhra Pradesh,Kurnool,Atmakur
IN0315,5796,5796,Andhra Pradesh,Kurnool,Banaganapalle
