ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Area,Population,ethnicity,IsiXhosa,IsiZulu,Siswati,Ndebele,Ngoni,Yao,Sesotho,Setswana,Sepedi,Chichewa,Chibarwe,Mang’anja,Nsenga,Nyungwe,Sena,Elomwe,Bemba,Bisa,Lala,Lamba,Lenje,Ushi,Mambwe,Shona,Ndau,Kalanga,Nambya,Tshivenda,Lozi,Toka Leya,Chitonga,Gitonga,Senga,Tumbuka,Makonde,Makhuwa,Mwani,Herero,Kavango,Rukwangali,Rugciriku,Rushambyu,Mbukushu,Oshikolonk,Oshikwaluu,Oshikwambi,Oshikwanya,Oshimbadja,Oshimbalan,Oshindonga,Oshindongo,Oshingandj,Lunda,Luvale,Lungu,Ila,Kaonde,Lambya,Mbunda,Namwanga,Nkhonde,Ronga,Tswa,Tsonga,Caprivi,Chopi,Chwabo,Balke,Subiya,Sifwe,Swahili,Sukwa,Tewe,Zambezi,Totela,Sebirwa,Shekgalagari,Shiyeyi,Khoisan,Khoekhoe,San,Sesarwa,Afrikaans,English,German,Portuguese,Others,Other African Languages ,Other Asian Languages,Other European Languages,Not Stated,Unknown,Sena,Swahili,Tewe,Tswa,Yao,Mang’anja,Sukwa,Lambya,Nkhonde,Lomwe,religion,Largest Religion,Share of Population,Christianity
BW020,Botswana,Northeast Botswana,North East,Setswana,0.543,Setswana,Kalanga,Ndebele,Shona,Others,English,Subiya,Sepedi,.,.,5253,69353,0,0,0,0,2705,0,0,0,37656,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,0,26116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,642,0,0,0,0,0,,,,,,,,,,,,,,
BW021,Botswana,Ngamiland,Ngamiland East,Setswana,0.8145,Setswana,Herero,Mbukushu,English,Kalanga,Shiyeyi,Sesarwa,Sepedi,Shekgalagari,Others,62435,124285,0,0,0,0,516,0,0,0,101231,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,1794,0,0,0,0,0,0,0,0,0,0,0,9620,0,0,0,0,4075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,776,1148,0,0,0,970,0,2358,0,0,558,0,0,0,0,0,,,,,,,,,,,,,,
BW022,Botswana,Ngamiland,Ngamiland West,Setswana,0.4399,Setswana,Mbukushu,Shiyeyi,Shekgalagari,Sesarwa,Herero,English,Others,Kalanga,Subiya,49841,74151,0,0,0,0,110,0,0,0,32621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,523,0,0,0,0,31547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,2092,5135,0,0,0,1108,0,296,0,0,265,0,0,0,0,0,,,,,,,,,,,,,,
BW023,Botswana,Chobe,Chobe,Setswana,0.6216,Setswana,Subiya,Kalanga,English,Mbukushu,Herero,Shiyeyi,Shona,Sebirwa,Others,20788,28742,0,0,0,0,0,0,0,0,17865,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,1540,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5935,0,0,0,0,0,0,200,94,255,0,0,0,74,0,1332,0,0,180,0,0,0,135,0,,,,,,,,,,,,,,
BW024,Botswana,Ghanzi,Ghanzi,Shekgalagari,0.3418,Shekgalagari,Sesarwa,Setswana,Herero,Others,English,Mbukushu,Ndebele,Ndebele,Kalanga,62719,56077,0,0,0,0,166,0,0,0,12472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,118,0,0,0,0,0,0,0,0,0,0,0,6380,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19167,0,0,0,0,13569,0,361,0,0,3400,0,0,0,0,0,,,,,,,,,,,,,,
BW025,Botswana,Ghanzi,CKGR,Sesarwa,1,Sesarwa,.,.,.,.,.,.,.,.,.,52246,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
BW026,Botswana,Kgalagadi,Kgalagadi South,Setswana,0.715,Setswana,Afrikaans,Shekgalagari,English,Herero,Others,Sesarwa,.,.,.,53777,35346,0,0,0,0,0,0,0,0,25273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3007,0,0,0,0,34,6332,465,0,0,104,0,0,0,0,0,,,,,,,,,,,,,,
BW027,Botswana,Kgalagadi,Kgalagadi North,Shekgalagari,0.7705,Shekgalagari,Setswana,English,Sesarwa,Kalanga,Kalanga,Sepedi,Shona,Others,.,51318,23512,0,0,0,0,0,0,0,0,3789,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18116,0,0,0,0,282,266,296,0,0,136,0,0,0,0,0,,,,,,,,,,,,,,
LS001,Lesotho,Lesotho,Lesotho,Sesotho,0.997,Sesotho,Others,.,.,.,.,.,.,.,.,30547,2007201,0,0,0,0,0,0,0,2001179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6022,0,0,0,0,0,,,,,,,,,,,,,,
MW001,Malawi,Northern Malawi,Chitipa,Lambya,0.3027,Lambya,Others,Tumbuka,Sukwa,Chichewa,Nkhonde,Ngoni,Chitonga,Elomwe,Yao,4337,234927,0,0,0,0,0,655,138,0,0,0,2666,0,99,0,0,57,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,57301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71106,0,0,1245,0,0,0,0,0,0,0,0,0,0,36089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65075,0,0,0,0,0,57,,,,138,99,36089,71106,1245,200,,,,
MW002,Malawi,Northern Malawi,Karonga,Tumbuka,0.4163,Tumbuka,Nkhonde,Others,Sukwa,Chichewa,Lambya,Ngoni,Chitonga,Yao,Elomwe,3418,365028,0,0,0,0,0,3176,1848,0,0,0,9189,0,216,0,0,296,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,0,0,151943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9018,0,0,138355,0,0,0,0,0,0,0,0,0,0,12034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35650,0,0,0,0,0,296,,,,1848,216,12034,9018,138355,1306,,,,
MW003,Malawi,Northern Malawi,Nkhata Bay,Chitonga,0.661,Chitonga,Tumbuka,Chichewa,Others,Elomwe,Nkhonde,Ngoni,Yao,Sukwa,Lambya,4184,284681,0,0,0,0,0,3090,2458,0,0,0,19315,0,477,0,0,427,3826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188173,0,0,55906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,0,0,3409,0,0,0,0,0,0,0,0,0,0,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3859,0,0,0,0,0,427,,,,2458,477,1874,1867,3409,3826,,,,
MW004,Malawi,Northern Malawi,Rumphi,Tumbuka,0.8588,Tumbuka,Chichewa,Ngoni,Elomwe,Yao,Lambya,Nkhonde,Others,Chitonga,Sukwa,4560,229161,0,0,0,0,0,5553,2839,0,0,0,11558,0,329,0,0,320,3978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,0,0,196809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2604,0,0,1845,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562,0,0,0,0,0,320,,,,2839,329,575,2604,1845,3978,,,,
MW005,Malawi,Northern Malawi,Mzimba,Tumbuka,0.7812,Tumbuka,Chichewa,Ngoni,Elomwe,Yao,Others,Chitonga,Sukwa,Lambya,Nkhonde,10483,940184,0,0,0,0,0,58675,10530,0,0,0,85906,0,1253,0,0,1316,12757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9567,0,0,734487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4160,0,0,2982,0,0,0,0,0,0,0,0,0,0,8811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9740,0,0,0,0,0,1316,,,,10530,1253,8811,4160,2982,12757,,,,
MW006,Malawi,Northern Malawi,Likoma,Chichewa,0.8244,Chichewa,Chitonga,Tumbuka,Yao,Ngoni,Elomwe,Others,Nkhonde,Mang’anja,Sena,20,14527,0,0,0,0,0,173,201,0,0,0,11976,0,28,0,0,16,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,60,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,16,,,,201,28,7,12,60,163,,,,
MW007,Malawi,Northern Malawi,Mzuzu City,Tumbuka,0.5153,Tumbuka,Chichewa,Ngoni,Chitonga,Nkhonde,Lambya,Yao,Elomwe,Others,Sukwa,146,221272,0,0,0,0,0,17851,7914,0,0,0,30393,0,839,0,0,1446,7810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16220,0,0,114024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8268,0,0,8997,0,0,0,0,0,0,0,0,0,0,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5154,0,0,0,0,0,1446,,,,7914,839,2356,8268,8997,7810,,,,
MW008,Malawi,Central Malawi,Kasungu,Chichewa,0.7803,Chichewa,Tumbuka,Ngoni,Yao,Elomwe,Others,Chitonga,Mang’anja,Sena,Nkhonde,8016,842953,0,0,0,0,0,15852,15073,0,0,0,657728,0,1151,0,0,1131,13051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651,0,0,133141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,0,767,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627,0,0,0,0,0,1131,,,,15073,1151,109,672,767,13051,,,,
MW009,Malawi,Central Malawi,Nkhotakota,Chichewa,0.7621,Chichewa,Chitonga,Tumbuka,Ngoni,Elomwe,Yao,Sena,Nkhonde,Mang’anja,Others,4318,393077,0,0,0,0,0,9126,7636,0,0,0,299555,0,1574,0,0,6761,8402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41019,0,0,15129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,1631,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,0,0,0,0,0,6761,,,,7636,1574,212,707,1631,8402,,,,
MW010,Malawi,Central Malawi,Ntchisi,Chichewa,0.9784,Chichewa,Ngoni,Tumbuka,Elomwe,Yao,Others,Chitonga,Mang’anja,Sena,Lambya,1710,317069,0,0,0,0,0,2911,884,0,0,0,310217,0,114,0,0,96,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,50,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,96,,,,884,114,12,66,50,1036,,,,
MW011,Malawi,Central Malawi,Dowa,Chichewa,0.8941,Chichewa,Ngoni,Others,Yao,Tumbuka,Elomwe,Chitonga,Mang’anja,Sena,Nkhonde,3083,772569,0,0,0,0,0,44070,4773,0,0,0,690721,0,493,0,0,422,3970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,297,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22619,0,0,0,0,0,422,,,,4773,493,51,225,297,3970,,,,
