Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Density,Area,Population,ethnicity,Sunni Arabs,Salafi Arabs,Shia Arabs,Alawites,Ibadi Arabs,South Arabians,Druze,Orthodox Arabs,Catholic Arabs,Protestant Arabs,Maronites,Copts,Kurds,Zazas,Turks,North Caucasian,Circassians,Chechens,Georgians,Lazi,Armenians,Assyrians,Jews,Other Arabs,No religion classification,Others,Foreigners,Others Foreigners,Yazidis,Mandaeans,Ajams/ Iranians,Kyrgyz,Kazakhs,Dagestani,Azeris,Syrians,Afghans,Indians,Pakistanis,Bangladeshis,Sri Lankans,Nepalis,Fillipinos,Southeast Asians,East Asians,Africans,Europeans,Americas/ Pacific,Egypt,Tanzania,Sudan,Bosnians,Albanians,Pomaks,Roma,Greeks,Ossetians,Balochis,Zadjali,Zanzibaris,Al-Luwatiyyah,Kumzaris,Banyans,religion,Largest Religion,Share of Population,Islam
,IQ26,Iraq,Al-Sulaymaniyah,Al-Sulaymaniyah,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,2304,960628,,0,0,0,0,,,0,0,0,0,0,0,960628,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ27,Iraq,Al-Sulaymaniyah,Chamchamal,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,4065,183494,,0,0,0,0,,,0,0,0,0,0,0,183494,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ28,Iraq,Al-Sulaymaniyah,Derbendikhan,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,530,128653,,0,0,0,0,,,0,0,0,0,0,0,128653,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ29,Iraq,Al-Sulaymaniyah,Dokan,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,1147,68776,,0,0,0,0,,,0,0,0,0,0,0,68776,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ30,Iraq,Al-Sulaymaniyah,Halabcha,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,1448,210686,,0,0,0,0,,,0,0,0,0,0,0,210686,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ31,Iraq,Al-Sulaymaniyah,Kalar,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,2147,216919,,0,0,0,0,,,0,0,0,0,0,0,216919,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ32,Iraq,Al-Sulaymaniyah,Panjwin,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,995,49986,,0,0,0,0,,,0,0,0,0,0,0,49986,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ33,Iraq,Al-Sulaymaniyah,Pshdar,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,1395,141306,,0,0,0,0,,,0,0,0,0,0,0,141306,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ34,Iraq,Al-Sulaymaniyah,Rania,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,1376,264390,,0,0,0,0,,,0,0,0,0,0,0,264390,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ35,Iraq,Al-Sulaymaniyah,Sharbazher,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,2169,38071,,0,0,0,0,,,0,0,0,0,0,0,38071,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
