Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Area,Population,ethnicity,Han Chinese,Hui,Tibetans,Koreans,Manchu,Japanese,Ainu,Mongols,Oirats,Buryats,Tuvans,Uyghurs,Kazakhs,Kyrgyz,Uzbeks,Tatars,Pamiris,Hmong,Yi,Zhuang,Bouyei,Dong,Yao,Bai,Tujia,Hani,Dai,Li,Lisu,Wa,She,Lahu,Sui,Dongxiang,Nakhi,Kachin,Tu,Daur,Mulao,Qiang,Blang,Salar,Maonan,Gelao,Sibe,Achang,Pumi,Nu,Russian,Evenk,De'ang,Bonan,Yugur,Vietnamese,Derung,Oroqen,Nanai,Monpa,Lhoba,Jino,Formosans,Portugese,Others,Naturalized Citizen,China,Taiwan,Japan,Vietnam,Cambodia,Philippines,Indonesia,Nepal,Uzbekistan,America,Thailand,Brazil,Sri Lanka,India,Peru,Bangladesh,Pakistan,Myanmar,Korea,Mongolia,United Kingdom,France,Russia,Malaysia,Canada,Australia,Germany,Turkey,Korea,Bolivia,Afghanistan,Italy,White,Other Asians,Other Europeans,Other West Asians/North Africans,Other Africans,Other Americas,Other Pacific Islanders,Stateless,Other Foreigners,religion,Largest Religion,Share of Population,Irreligious
,CH0025,Tianjin,1201,Jinnan District,Han Chinese,0.9772,Han Chinese,Hui,Manchu,Tujia,Koreans,Hmong,Mongols,Yi,Zhuang,Hani,388,928066,,906893,9316,21,1672,2410,0,0,1588,0,0,0,135,0,0,0,0,0,1640,472,382,170,187,43,240,1968,262,0,125,0,142,15,0,26,0,12,93,0,27,24,0,0,0,0,105,45,0,0,0,0,42,0,0,0,0,2,0,0,0,0,0,0,,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0026,Tianjin,1201,Beichen District,Han Chinese,0.9513,Han Chinese,Hui,Manchu,Mongols,Tujia,Dongxiang,Koreans,Hmong,Zhuang,Yi,475,909643,,865298,31276,161,685,4654,0,0,2847,0,0,0,334,52,0,0,0,0,603,438,571,118,102,190,44,817,0,0,87,67,22,56,0,0,779,0,0,7,93,34,0,0,177,7,24,23,0,0,0,0,6,0,16,0,26,0,9,19,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0027,Tianjin,1201,Wuqing District,Han Chinese,0.9790,Han Chinese,Hui,Manchu,Zhuang,Mongols,Hmong,Koreans,Yi,Yao,Tujia,1570,1153235,,1129069,8703,137,609,5067,0,0,2537,0,0,0,143,0,0,0,0,0,1153,393,3981,234,168,377,61,329,0,0,20,0,30,0,0,16,0,7,0,10,47,31,0,0,0,100,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0028,Tianjin,1201,Baodi District,Han Chinese,0.9855,Han Chinese,Manchu,Hui,Mongols,Zhuang,Yi,Hmong,Koreans,Tujia,Others,1525,722367,,711876,2053,156,317,3293,0,0,1729,0,0,0,135,0,0,0,0,0,320,424,1180,99,72,113,16,193,0,24,0,36,0,0,59,0,19,0,0,12,37,0,0,10,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0029,Tianjin,1201,Binhai New District,Han Chinese,0.9703,Han Chinese,Hui,Manchu,Mongols,Koreans,Hmong,Tujia,Others,Zhuang,Yi,2373,1973752,,1915085,21342,358,2627,17262,0,0,5220,0,0,0,597,132,30,0,0,3,2212,903,929,650,673,282,431,2098,69,189,99,114,93,155,94,61,0,37,0,62,127,0,26,17,0,0,312,214,0,29,0,38,24,0,0,0,0,0,15,0,0,0,8,3,,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0030,Tianjin,1201,Ninghe District,Han Chinese,0.9798,Han Chinese,Zhuang,Hui,Manchu,Mongols,Tujia,Yi,Hmong,Yao,Dong,1303,395333,,387347,1027,113,111,869,0,0,855,0,0,0,61,0,0,0,0,2,277,312,2980,125,217,276,8,527,0,0,0,0,23,0,0,13,0,0,0,0,33,83,16,0,0,37,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0031,Tianjin,1201,Jinghai District,Han Chinese,0.9832,Han Chinese,Hui,Manchu,Tujia,Mongols,Hmong,Yi,Koreans,Bouyei,Uyghurs,1510,787106,,773853,2990,181,426,2956,0,0,1877,0,0,0,183,0,0,0,2,0,806,434,144,202,79,21,21,2432,57,93,0,0,15,39,0,0,0,0,0,64,82,0,0,14,0,0,0,24,0,0,0,0,105,0,0,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0032,Tianjin,1201,Jizhou District,Han Chinese,0.9258,Han Chinese,Manchu,Mongols,Zhuang,Hmong,Hui,Bouyei,Dong,Yi,Tujia,1624,795516,,736456,1240,168,95,47272,0,0,3501,0,0,0,165,24,17,0,0,2,1738,470,1776,854,709,186,28,190,75,0,41,0,20,39,0,122,0,0,0,15,12,16,0,0,0,0,113,9,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,1,,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0033,Hebei,1301,Chang'an District,Han Chinese,0.9785,Han Chinese,Hui,Manchu,Mongols,Tujia,Hmong,Koreans,Zhuang,Dong,Yi,142,1059572,,1036783,9922,56,314,8007,0,0,1644,0,0,0,38,19,0,0,0,0,557,153,271,145,179,71,153,665,33,23,21,7,0,18,48,39,0,8,0,17,72,19,18,0,0,0,73,86,0,0,0,2,10,0,0,3,22,0,3,6,0,0,0,0,,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0034,Hebei,1301,Qiaoxi District,Han Chinese,0.9790,Han Chinese,Manchu,Hui,Mongols,Tibetans,Tujia,Hmong,Koreans,Uyghurs,Zhuang,69,979646,,959034,7343,1034,394,7874,0,0,1486,0,0,0,184,0,0,0,0,0,405,159,182,129,147,30,109,778,25,49,26,19,0,51,15,0,0,24,0,2,34,0,17,0,0,0,23,33,0,0,0,11,19,0,0,0,0,0,0,0,5,3,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
