Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,oneReligion,twoReligion,threeReligion,fourReligion,fiveReligion,sixReligion,sevenReligion,eightReligion,nineReligion,tenReligion,Density,Area,Population,ethnicity,Serbs,Montenegrins,Croats,Bosniaks,Bulgarians,Macedonians,Albanians,Arvanites,Greeks,Turks,Tatars,Gagauzians,Romanians,Moldovans,Aromanians,Hungarians,Jews,Roma,Gorans,Egyptians,Ashkali,Muslims,Bosnians,Yugoslavs,Others,Unstated,Unknown,Slovenians,Czechs,Slovaks,Russians,Ukrainians,Belorussians,Ruthenians,Bunjevacis,Poles,Germans,Italians,Georgians,Armenians,Arabs,Maronite Arabs,Orthodox Arabs,Copt Arabs,Catholic Arabs,Sunni Arabs,Shia Arabs,Austrians,British,French,Spanish,Swedish,Finnish,Portugese,Dutch,Danish,Americans,Nigerians,Sri Lankans,Indians,Pakistanis,Bangladeshis,Chinese,Vietnamese,Filippino,Syrians,Iranians,Afghans,Turkmenistanis,Azerbaijanis,Other Europeans,Other Asians,Other Africans,Other North Americans,Latin Americans,Oceania countries,No country declared,Stateless or Unspecified Nationality,religion,Largest Religion,Share of Population,Orthodoxy,Catholicism,Protestantism,Other Christians,Islam,Judaism,Other religions,Atheism,Not stated,Not known
2019,BH026,Bosnia & Herzegovina,West Herzegovina,Ljubuški,Croats,0.967605734,Croats,Bosniaks,Unstated,Serbs,Unknown,Others,Albanians,Muslims,Muslims,Montenegrins,Catholicism,Islam,Not stated,Orthodoxy,Orthodoxy,Not known,Other Christians,Other religions,.,.,50.78,555,28184,,41,2,27271,707,,,30,,,,,,,,,,,,,,,5,5,,35,51,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.965547829,44,27213,,9,781,,7,44,50,36
2019,BH063,Bosnia & Herzegovina,Bosnian-Podrinje,Goražde,Bosniaks,0.942336221,Bosniaks,Serbs,Bosnians,Muslims,Unstated,Others,Roma,Croats,Albanians,Unknown,Islam,Orthodoxy,Atheism,Not stated,Catholicism,Protestantism,Other religions,Not known,Other Christians,.,43.09,485,20897,,707,5,23,19692,,2,15,,,,,,,,,,,29,,,,89,205,7,39,73,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.95468249,718,35,14,4,19950,,12,84,70,10
2019,BH030,Bosnia & Herzegovina,West Herzegovina,Posušje,Croats,0.99741173,Croats,Unknown,Albanians,Serbs,Unstated,Bosniaks,Bosniaks,Bosniaks,.,.,Catholicism,Not known,Islam,Orthodoxy,Not stated,Atheism,.,.,.,.,23.78,861,20477,,5,,20424,2,,,8,,,,,,,,,,,,,,,2,,,2,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.997655907,5,20429,,,6,,,2,4,31
2019,BH016,Bosnia & Herzegovina,West Herzegovina,Grude,Croats,0.994684539,Croats,Unknown,Serbs,Others,Bosniaks,Bosniaks,Bosniaks,Montenegrins,Montenegrins,Montenegrins,Catholicism,Not known,Not stated,Orthodoxy,Islam,Islam,Other Christians,.,.,.,41.91,413,17308,,10,1,17216,3,,,3,,,,,,,,,,,,,,,-,1,1,5,3,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.994048995,9,17205,,2,6,,,6,13,67
2019,BH014,Bosnia & Herzegovina,Central Bosnia,Gornji Vakuf-Uskop.,Bosniaks,0.573448622,Bosniaks,Croats,Bosnians,Unknown,Roma,Serbs,Unstated,Muslims,Albanians,Others,Islam,Catholicism,Not known,Not stated,Atheism,Orthodoxy,Other religions,.,.,.,27.36,765,20933,,30,,8660,12004,,1,12,,,3,,,,,,,,36,,,,27,78,1,11,28,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.580088855,25,8663,,,12143,,1,26,32,43
2019,BH032,Bosnia & Herzegovina,Central Bosnia,Novi Travnik,Bosniaks,0.506336019,Bosniaks,Croats,Serbs,Bosnians,Unstated,Muslims,Roma,Others,Unknown,Montenegrins,Islam,Catholicism,Orthodoxy,Atheism,Not stated,Not known,Other Christians,Other religions,Protestantism,.,50.6,471,23832,,369,9,11002,12067,,3,7,,,3,,,,,,,,43,,,,53,108,6,31,104,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.512630077,361,10951,3,22,12217,,13,134,106,25
2019,BH010,Bosnia & Herzegovina,Central Bosnia,Donji Vakuf,Bosniaks,0.956453343,Bosniaks,Roma,Muslims,Serbs,Bosnians,Croats,Unstated,Others,Albanians,Unknown,Islam,Orthodoxy,Catholicism,Not stated,Atheism,Other religions,Not known,.,.,.,22.38,625,13985,,107,,58,13376,,,14,,,,,,,,,,,152,,,,112,86,,21,46,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.978691455,109,69,,,13687,,14,35,59,12
2019,BH054,Bosnia & Herzegovina,Central Bosnia,Dobretići,Croats,0.998158379,Croats,Serbs,Serbs,Serbs,.,.,.,.,.,.,Catholicism,Orthodoxy,Orthodoxy,Orthodoxy,.,.,.,.,.,.,13.03,125,1629,,1,,1626,,,,,,,,,,,,,,,,,,,-,,,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.998158379,1,1626,,1,,,,,,1
2019,BH006,Bosnia & Herzegovina,Central Bosnia,Busovača,Croats,0.495421552,Croats,Bosniaks,Serbs,Bosnians,Unstated,Muslims,Others,Unknown,Montenegrins,Turks,Catholicism,Islam,Orthodoxy,Atheism,Not stated,Not known,Other religions,.,.,.,58.34,307,17910,,206,9,8873,8681,,,1,,,3,,,,,,,,3,,,,25,46,2,19,27,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.495309883,194,8871,,,8729,,6,48,45,17
2019,BH019,Bosnia & Herzegovina,Central Bosnia,Kiseljak,Croats,0.570553035,Croats,Bosniaks,Serbs,Roma,Muslims,Unstated,Bosnians,Turks,Others,Unknown,Catholicism,Islam,Orthodoxy,Other religions,Atheism,Not stated,Other Christians,Not known,Protestantism,.,67.28,308,20722,,413,11,11823,7838,,,11,,,71,,,,,,,,220,,,,93,84,5,45,85,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.568477946,392,11780,1,19,8210,,117,96,90,17
